jurisdiction,body_name,person_id,full_name,role_title,chamber,district,party,email_primary,phone_primary,source_count
Austin City Council,Austin City Council,e221024c-ac26-4add-894d-98baec7cb759,Kirk Watson,Mayor,,,,watsonwire@austintexas.gov,+15129782100,2
Austin City Council,Austin City Council,08caa2b3-f5e6-4383-a3cf-9277ee060280,Natasha Harper-Madison,council member,,District 1,,,+15129782101,2
Austin City Council,Austin City Council,719b031a-4ecd-4b6b-b9d5-fd718fb8efb9,Vanessa Fuentes,council member,,District 2,,,+15129782102,2
Austin City Council,Austin City Council,9e60b39f-c89f-4ba4-8670-f6c4a9077270,José Velásquez,council member,,District 3,,,+15129782103,2
Austin City Council,Austin City Council,d450e766-2583-4ee3-94c3-67b67edabfd5,José “Chito” Vela,Council Member,,District 4,,,+15129782104,2
Austin City Council,Austin City Council,e8a410ec-0bf5-43f9-b7fa-700803445e9e,Ryan Alter,council member,,District 5,,,+15129782105,2
Austin City Council,Austin City Council,25deebe9-f084-46ae-8745-e06507ae3db3,Krista Laine,Council Member,,District 6,,,+15129782106,2
Austin City Council,Austin City Council,3636ba9f-8a84-42e2-8786-28a6e18bbaf1,Mike Siegel,council member,,District 7,,,+15129782107,2
Austin City Council,Austin City Council,d3ed0912-a519-4dda-be70-112ff6149f7f,Paige Ellis,council member,,District 8,,,+15129782108,2
Austin City Council,Austin City Council,4329979a-29f3-4069-88ce-b5af1b81c4ff,"Zohaib ""Zo"" Qadri",council member,,District 9,,,+15129782109,2
Austin City Council,Austin City Council,70fabf4f-9553-4b56-a7a9-a7b0e6dbd3e5,Marc Duchen,council member,,District 10,,district10@austintexas.gov,+15129782110,2
Austin City Council,City of Austin,1bb05560-4cc4-4082-a402-2ac770c91548,T.C. Broadnax,City Manager,,,,,+15129741638,1
