merchant,industry,business_size,country,dominant_product,checkout_usd,paylink_usd,total_usd,avg_monthly_vol,tenure_months,flag_industry,flag_country,flag_product,tier
dbb42c22,Clothing & accessory,large,US,unattributed,0.0,0.0,99255611.33,9023237.393636363,3,0,1,0,Tier 1: Direct Sales Outreach
0a97fe33,Furnishing,medium,US,unattributed,0.0,0.0,98459619.91,6563974.660666666,63,0,1,0,Tier 1: Direct Sales Outreach
f533c70f,Cosmetics,large,US,unattributed,0.0,0.0,97831457.84,6522097.189333334,19,0,1,0,Tier 1: Direct Sales Outreach
29c10133,Business services,medium,FR,unattributed,4927074.52,0.0,55080150.830000006,3672010.0553333336,11,1,0,0,Tier 1: Direct Sales Outreach
81c3d402,Others,medium,US,unattributed,0.0,0.0,41798314.49000001,2786554.299333334,38,0,1,0,Tier 1: Direct Sales Outreach
299324bf,Ticketing & events,medium,US,unattributed,0.0,0.0,38873737.419999994,2591582.4946666663,30,0,1,0,Tier 1: Direct Sales Outreach
eb88a104,Food & drink,medium,US,unattributed,0.0,0.0,38520656.31,2568043.754,15,0,1,0,Tier 1: Direct Sales Outreach
bb4372e3,Clothing & accessory,small,US,unattributed,0.0,0.0,35619002.22,2374600.148,65,0,1,0,Tier 1: Direct Sales Outreach
d51cb0bf,Business services,medium,US,unattributed,0.0,0.0,30220944.47,2014729.6313333332,44,1,1,0,Tier 1: Direct Sales Outreach
c832a43c,Travel & lodging,small,US,unattributed,0.0,0.0,28530162.089999996,1902010.8059999996,71,0,1,0,Tier 1: Direct Sales Outreach
70c108dc,Merchandise,small,US,unattributed,0.0,0.0,28252699.33,1883513.2886666665,65,0,1,0,Tier 1: Direct Sales Outreach
dbca5427,Clothing & accessory,medium,US,checkout,6413500.93,0.0,6480001.880000001,1080000.3133333335,5,0,1,0,Tier 1: Direct Sales Outreach
b6cd66b4,Business services,medium,US,unattributed,1413207.98,0.0,15921744.430000003,1061449.6286666668,28,1,1,0,Tier 1: Direct Sales Outreach
